DateTime,Date,Time,Windav,Temperature,Humidity,Pressure,Direction
5/1/2013 15:19:27,5/1/2013,15:19:27,0.74,20.72,21.70,966.07,4
5/1/2013 15:19:42,5/1/2013,15:19:42,0.98,20.60,23.29,966.07,14
5/1/2013 15:19:57,5/1/2013,15:19:57,1.12,20.39,23.10,966.08,43
5/1/2013 15:20:12,5/1/2013,15:20:12,1.26,20.39,24.89,966.08,13
5/1/2013 15:20:27,5/1/2013,15:20:27,1.19,20.45,25.00,966.09,39
5/1/2013 15:20:42,5/1/2013,15:20:42,0.86,20.79,26.50,966.09,63
5/1/2013 15:20:57,5/1/2013,15:20:57,0.48,20.85,26.39,966.09,85
5/1/2013 15:21:12,5/1/2013,15:21:12,0.93,20.95,27.79,966.09,337
5/1/2013 15:21:27,5/1/2013,15:21:27,1.20,20.72,27.29,966.07,10
5/1/2013 15:21:42,5/1/2013,15:21:42,1.04,20.64,26.60,966.07,43
5/1/2013 15:21:57,5/1/2013,15:21:57,2.12,20.04,26.89,966.07,358
5/1/2013 15:22:12,5/1/2013,15:22:12,1.84,19.97,26.60,966.07,18
5/1/2013 15:22:27,5/1/2013,15:22:27,3.09,19.37,26.89,966.06,0
5/1/2013 15:22:42,5/1/2013,15:22:42,1.91,19.75,28.29,966.11,27
5/1/2013 15:22:57,5/1/2013,15:22:57,1.74,19.85,30.60,966.12,64
5/1/2013 15:23:12,5/1/2013,15:23:12,1.40,20.02,30.00,966.17,73
5/1/2013 15:23:27,5/1/2013,15:23:27,0.84,20.10,25.89,966.16,63
5/1/2013 15:23:42,5/1/2013,15:23:42,1.23,20.02,27.29,966.16,50
5/1/2013 15:23:57,5/1/2013,15:23:57,1.20,19.92,27.10,966.16,21
5/1/2013 15:24:12,5/1/2013,15:24:12,1.95,19.45,26.60,966.17,33
5/1/2013 15:24:27,5/1/2013,15:24:27,1.84,19.27,25.00,966.17,76
5/1/2013 15:24:42,5/1/2013,15:24:42,1.29,19.22,24.50,966.19,90
5/1/2013 15:24:57,5/1/2013,15:24:57,0.23,20.12,26.39,966.16,16
5/1/2013 15:25:12,5/1/2013,15:25:12,0.00,20.17,24.39,966.15,340
5/1/2013 15:25:27,5/1/2013,15:25:27,0.66,20.04,26.79,966.13,245
5/1/2013 15:25:42,5/1/2013,15:25:42,1.16,19.70,23.50,966.11,150
5/1/2013 15:25:57,5/1/2013,15:25:57,0.98,19.82,26.39,966.12,55
5/1/2013 15:26:12,5/1/2013,15:26:12,0.65,20.02,27.89,966.13,48
5/1/2013 15:26:27,5/1/2013,15:26:27,1.34,19.54,24.39,966.13,87
5/1/2013 15:26:42,5/1/2013,15:26:42,1.13,19.89,29.29,966.14,64
5/1/2013 15:26:57,5/1/2013,15:26:57,0.62,20.10,29.29,966.15,31
5/1/2013 15:27:12,5/1/2013,15:27:12,1.09,19.70,29.70,966.15,74
5/1/2013 15:27:27,5/1/2013,15:27:27,1.08,19.85,29.00,966.13,121
5/1/2013 15:27:42,5/1/2013,15:27:42,0.66,19.85,26.60,966.13,51
5/1/2013 15:27:57,5/1/2013,15:27:57,0.00,20.12,25.70,966.14,52
5/1/2013 15:28:12,5/1/2013,15:28:12,0.47,20.02,26.79,966.13,35
5/1/2013 15:28:27,5/1/2013,15:28:27,0.00,20.29,27.00,966.12,14
5/1/2013 15:28:42,5/1/2013,15:28:42,0.47,19.85,23.70,966.13,54
5/1/2013 15:28:57,5/1/2013,15:28:57,0.05,20.25,27.20,966.14,17
5/1/2013 15:29:12,5/1/2013,15:29:12,0.00,20.39,25.50,966.13,359
5/1/2013 15:29:27,5/1/2013,15:29:27,0.00,20.45,25.39,966.11,42
5/1/2013 15:29:42,5/1/2013,15:29:42,0.22,20.57,25.50,966.12,348
5/1/2013 15:29:57,5/1/2013,15:29:57,0.83,20.25,25.79,966.09,89
5/1/2013 15:30:12,5/1/2013,15:30:12,0.45,20.39,25.79,966.12,13
5/1/2013 15:30:27,5/1/2013,15:30:27,0.12,21.00,26.89,966.07,10
5/1/2013 15:30:42,5/1/2013,15:30:42,0.00,21.02,23.60,966.06,13
5/1/2013 15:30:57,5/1/2013,15:30:57,0.00,20.79,22.60,966.06,1
5/1/2013 15:31:12,5/1/2013,15:31:12,0.00,20.67,26.79,966.07,38
5/1/2013 15:31:27,5/1/2013,15:31:27,0.23,20.95,24.89,966.06,88
5/1/2013 15:31:42,5/1/2013,15:31:42,0.36,21.02,26.29,966.06,77
5/1/2013 15:31:57,5/1/2013,15:31:57,0.34,20.75,23.50,966.06,14
5/1/2013 15:32:12,5/1/2013,15:32:12,0.00,20.72,26.79,966.05,21
5/1/2013 15:32:27,5/1/2013,15:32:27,0.56,20.72,25.79,966.04,356
5/1/2013 15:32:42,5/1/2013,15:32:42,0.00,20.79,25.10,966.04,5
5/1/2013 15:32:57,5/1/2013,15:32:57,0.43,20.57,23.60,966.02,358
5/1/2013 15:33:12,5/1/2013,15:33:12,0.69,20.64,25.10,966.05,7
5/1/2013 15:33:27,5/1/2013,15:33:27,0.58,20.72,24.60,966.06,356
5/1/2013 15:33:42,5/1/2013,15:33:42,0.77,20.72,26.50,966.05,31
5/1/2013 15:33:57,5/1/2013,15:33:57,0.62,20.87,25.60,966.04,94
5/1/2013 15:34:12,5/1/2013,15:34:12,0.70,20.95,25.50,966.04,10
5/1/2013 15:34:27,5/1/2013,15:34:27,1.05,20.39,24.79,966.04,47
5/1/2013 15:34:42,5/1/2013,15:34:42,1.02,20.20,22.70,966.04,25
5/1/2013 15:34:57,5/1/2013,15:34:57,0.74,20.39,24.39,966.02,54
5/1/2013 15:35:12,5/1/2013,15:35:12,0.08,20.95,22.50,966.04,355
5/1/2013 15:35:27,5/1/2013,15:35:27,0.00,21.12,23.60,966.01,25
5/1/2013 15:35:42,5/1/2013,15:35:42,0.00,21.20,25.00,966.01,23
5/1/2013 15:35:57,5/1/2013,15:35:57,0.00,21.27,24.29,966.00,10
5/1/2013 15:36:12,5/1/2013,15:36:12,0.00,21.12,26.79,965.99,34
5/1/2013 15:36:27,5/1/2013,15:36:27,0.00,21.20,27.00,965.98,28
5/1/2013 15:36:42,5/1/2013,15:36:42,0.00,21.42,26.70,965.92,2
5/1/2013 15:36:57,5/1/2013,15:36:57,1.09,20.67,23.89,965.89,62
5/1/2013 15:37:12,5/1/2013,15:37:12,1.91,20.10,24.70,965.91,48
5/1/2013 15:37:27,5/1/2013,15:37:27,1.54,20.37,27.79,965.96,32
5/1/2013 15:37:42,5/1/2013,15:37:42,1.91,20.10,27.00,965.99,0
5/1/2013 15:37:57,5/1/2013,15:37:57,1.23,20.29,26.20,966.02,32
5/1/2013 15:38:12,5/1/2013,15:38:12,0.72,20.72,26.79,966.04,19
5/1/2013 15:38:27,5/1/2013,15:38:27,0.06,20.87,26.79,966.05,10
5/1/2013 15:38:42,5/1/2013,15:38:42,0.84,20.57,26.10,966.04,28
5/1/2013 15:38:57,5/1/2013,15:38:57,1.54,20.20,25.20,966.04,3
5/1/2013 15:39:12,5/1/2013,15:39:12,1.36,20.37,27.00,966.04,55
5/1/2013 15:39:27,5/1/2013,15:39:27,0.59,20.85,28.79,966.05,155
5/1/2013 15:39:42,5/1/2013,15:39:42,0.11,20.87,27.00,966.06,10
5/1/2013 15:39:57,5/1/2013,15:39:57,0.00,20.79,26.39,966.06,47
5/1/2013 15:40:12,5/1/2013,15:40:12,0.00,20.79,26.39,966.07,7
5/1/2013 15:40:27,5/1/2013,15:40:27,1.06,20.45,26.79,966.06,0
5/1/2013 15:40:42,5/1/2013,15:40:42,0.83,20.72,27.29,966.07,6
5/1/2013 15:40:57,5/1/2013,15:40:57,0.30,20.95,27.10,966.08,0
5/1/2013 15:41:12,5/1/2013,15:41:12,0.62,20.87,27.10,966.09,37
5/1/2013 15:41:27,5/1/2013,15:41:27,0.00,20.95,25.50,966.08,2
5/1/2013 15:41:42,5/1/2013,15:41:42,1.31,20.47,25.79,966.06,15
5/1/2013 15:41:57,5/1/2013,15:41:57,1.20,20.39,26.39,966.08,356
5/1/2013 15:42:12,5/1/2013,15:42:12,1.43,20.10,23.29,966.08,13
5/1/2013 15:42:27,5/1/2013,15:42:27,1.08,20.37,25.00,966.09,11
5/1/2013 15:42:42,5/1/2013,15:42:42,0.11,21.02,26.89,966.11,29
5/1/2013 15:42:57,5/1/2013,15:42:57,0.95,20.45,26.00,966.12,74
5/1/2013 15:43:12,5/1/2013,15:43:12,1.26,20.45,27.79,966.14,24
5/1/2013 15:43:27,5/1/2013,15:43:27,0.77,20.72,26.29,966.15,15
5/1/2013 15:43:42,5/1/2013,15:43:42,1.24,20.37,27.50,966.12,29
5/1/2013 15:43:57,5/1/2013,15:43:57,1.29,20.25,27.60,966.14,42
5/1/2013 15:44:12,5/1/2013,15:44:12,1.77,20.12,28.39,966.16,39
5/1/2013 15:44:27,5/1/2013,15:44:27,1.52,20.10,28.60,966.19,63
5/1/2013 15:44:42,5/1/2013,15:44:42,1.58,20.02,28.00,966.19,42
5/1/2013 15:44:57,5/1/2013,15:44:57,1.36,20.12,28.89,966.21,32
5/1/2013 15:45:12,5/1/2013,15:45:12,0.73,20.57,28.70,966.22,45
5/1/2013 15:45:27,5/1/2013,15:45:27,1.04,20.04,28.79,966.21,55
5/1/2013 15:45:42,5/1/2013,15:45:42,1.18,19.89,26.89,966.19,46
5/1/2013 15:45:57,5/1/2013,15:45:57,0.70,20.10,26.29,966.19,43
5/1/2013 15:46:12,5/1/2013,15:46:12,1.56,19.85,27.60,966.17,28
5/1/2013 15:46:27,5/1/2013,15:46:27,0.97,20.17,27.79,966.17,5
5/1/2013 15:46:42,5/1/2013,15:46:42,0.26,20.25,25.39,966.15,18
5/1/2013 15:46:57,5/1/2013,15:46:57,1.65,19.54,23.79,966.13,356
5/1/2013 15:47:12,5/1/2013,15:47:12,0.79,20.10,25.50,966.14,41
5/1/2013 15:47:27,5/1/2013,15:47:27,1.79,19.54,25.89,966.12,6
5/1/2013 15:47:42,5/1/2013,15:47:42,1.41,19.82,28.60,966.13,54
5/1/2013 15:47:57,5/1/2013,15:47:57,1.20,20.10,27.20,966.13,6
5/1/2013 15:48:12,5/1/2013,15:48:12,1.65,19.70,26.39,966.14,344
5/1/2013 15:48:27,5/1/2013,15:48:27,1.12,19.77,27.20,966.14,4
5/1/2013 15:48:42,5/1/2013,15:48:42,1.11,19.85,28.10,966.13,6
5/1/2013 15:48:57,5/1/2013,15:48:57,1.33,19.64,27.10,966.13,354
5/1/2013 15:49:12,5/1/2013,15:49:12,0.88,19.97,28.10,966.13,22
5/1/2013 15:49:27,5/1/2013,15:49:27,0.23,20.47,29.60,966.13,17
5/1/2013 15:49:42,5/1/2013,15:49:42,0.76,20.20,27.89,966.08,10
5/1/2013 15:49:57,5/1/2013,15:49:57,1.01,20.02,28.60,966.05,42
5/1/2013 15:50:12,5/1/2013,15:50:12,0.87,19.92,27.29,966.05,43
5/1/2013 15:50:27,5/1/2013,15:50:27,0.43,20.37,27.10,966.05,27
5/1/2013 15:50:42,5/1/2013,15:50:42,0.99,19.92,27.00,966.05,45
5/1/2013 15:50:57,5/1/2013,15:50:57,1.19,19.89,29.60,966.04,2
5/1/2013 15:51:12,5/1/2013,15:51:12,1.70,19.70,26.70,966.04,357
5/1/2013 15:51:27,5/1/2013,15:51:27,0.77,20.32,28.50,966.02,80
5/1/2013 15:51:42,5/1/2013,15:51:42,0.86,20.25,29.39,966.02,55
5/1/2013 15:51:57,5/1/2013,15:51:57,0.98,20.17,28.89,966.04,60
5/1/2013 15:52:12,5/1/2013,15:52:12,0.12,20.47,28.39,966.05,351
5/1/2013 15:52:27,5/1/2013,15:52:27,0.43,20.45,28.00,966.04,8
5/1/2013 15:52:42,5/1/2013,15:52:42,0.90,20.39,29.29,966.04,62
5/1/2013 15:52:57,5/1/2013,15:52:57,1.34,20.20,28.79,966.02,46
5/1/2013 15:53:12,5/1/2013,15:53:12,1.19,20.10,26.50,966.04,35
5/1/2013 15:53:27,5/1/2013,15:53:27,0.37,20.25,27.50,966.02,48
5/1/2013 15:53:42,5/1/2013,15:53:42,0.37,20.60,26.29,966.02,91
5/1/2013 15:53:57,5/1/2013,15:53:57,0.95,20.39,26.79,966.01,35
5/1/2013 15:54:12,5/1/2013,15:54:12,1.48,20.12,28.79,966.00,358
5/1/2013 15:54:27,5/1/2013,15:54:27,1.47,20.02,28.89,966.04,38
5/1/2013 15:54:42,5/1/2013,15:54:42,2.09,19.64,27.60,966.08,52
5/1/2013 15:54:57,5/1/2013,15:54:57,1.47,20.02,29.70,966.06,110
5/1/2013 15:55:12,5/1/2013,15:55:12,2.18,19.45,26.50,966.06,38
5/1/2013 15:55:27,5/1/2013,15:55:27,2.12,19.45,26.50,966.07,23
5/1/2013 15:55:42,5/1/2013,15:55:42,2.01,19.54,28.20,966.12,25
5/1/2013 15:55:57,5/1/2013,15:55:57,1.08,20.02,26.89,966.11,7
5/1/2013 15:56:12,5/1/2013,15:56:12,1.99,19.37,26.20,966.09,26
5/1/2013 15:56:27,5/1/2013,15:56:27,1.94,19.22,26.10,966.11,22
5/1/2013 15:56:42,5/1/2013,15:56:42,1.33,19.64,27.89,966.09,24
5/1/2013 15:56:57,5/1/2013,15:56:57,1.40,19.62,28.70,966.12,89
5/1/2013 15:57:12,5/1/2013,15:57:12,0.77,20.04,29.39,966.11,344
5/1/2013 15:57:27,5/1/2013,15:57:27,1.47,19.62,28.29,966.09,67
5/1/2013 15:57:42,5/1/2013,15:57:42,0.98,19.89,28.60,966.08,324
5/1/2013 15:57:57,5/1/2013,15:57:57,1.52,19.50,26.50,966.11,4
5/1/2013 15:58:12,5/1/2013,15:58:12,2.19,19.14,26.70,966.12,1
5/1/2013 15:58:27,5/1/2013,15:58:27,1.74,19.27,28.39,966.13,21
5/1/2013 15:58:42,5/1/2013,15:58:42,1.58,19.14,23.70,966.12,14
5/1/2013 15:58:57,5/1/2013,15:58:57,1.16,19.37,25.50,966.11,5
5/1/2013 15:59:12,5/1/2013,15:59:12,1.41,19.37,26.39,966.07,11
5/1/2013 15:59:27,5/1/2013,15:59:27,1.44,19.37,27.10,966.06,3
5/1/2013 15:59:42,5/1/2013,15:59:42,1.73,19.27,26.00,966.05,355
5/1/2013 15:59:57,5/1/2013,15:59:57,1.05,19.57,26.89,966.05,8
5/1/2013 16:00:12,5/1/2013,16:00:12,0.84,19.70,25.79,966.05,0
5/1/2013 16:00:27,5/1/2013,16:00:27,1.43,19.37,24.29,966.04,359
5/1/2013 16:00:42,5/1/2013,16:00:42,0.72,19.64,24.89,966.04,356
5/1/2013 16:00:57,5/1/2013,16:00:57,0.59,19.77,22.39,966.02,14
5/1/2013 16:01:12,5/1/2013,16:01:12,0.00,20.39,24.50,966.04,41
5/1/2013 16:01:27,5/1/2013,16:01:27,0.00,20.92,25.89,966.00,277
5/1/2013 16:01:42,5/1/2013,16:01:42,0.52,20.32,26.00,965.97,7
5/1/2013 16:01:57,5/1/2013,16:01:57,0.61,20.57,30.10,965.97,99
5/1/2013 16:02:12,5/1/2013,16:02:12,0.87,20.57,31.29,965.97,332
5/1/2013 16:02:27,5/1/2013,16:02:27,1.04,20.39,30.50,965.99,39
5/1/2013 16:02:42,5/1/2013,16:02:42,1.02,20.25,25.79,965.98,8
5/1/2013 16:02:57,5/1/2013,16:02:57,1.68,19.75,25.10,965.98,352
5/1/2013 16:03:12,5/1/2013,16:03:12,1.12,20.02,26.60,965.98,59
5/1/2013 16:03:27,5/1/2013,16:03:27,0.74,20.37,27.70,965.99,82
5/1/2013 16:03:42,5/1/2013,16:03:42,0.76,20.57,28.60,965.99,328
5/1/2013 16:03:57,5/1/2013,16:03:57,1.43,19.97,28.39,965.99,27
5/1/2013 16:04:12,5/1/2013,16:04:12,2.55,19.37,28.20,966.00,13
5/1/2013 16:04:27,5/1/2013,16:04:27,2.36,19.27,26.70,966.02,72
5/1/2013 16:04:42,5/1/2013,16:04:42,2.02,19.37,27.70,966.04,2
5/1/2013 16:04:57,5/1/2013,16:04:57,1.94,19.22,28.00,966.05,356
5/1/2013 16:05:12,5/1/2013,16:05:12,1.52,19.45,29.70,966.04,5
5/1/2013 16:05:27,5/1/2013,16:05:27,1.62,19.35,28.79,966.05,14
5/1/2013 16:05:42,5/1/2013,16:05:42,1.37,19.42,28.50,966.04,13
5/1/2013 16:05:57,5/1/2013,16:05:57,1.66,19.29,27.70,966.02,1
5/1/2013 16:06:12,5/1/2013,16:06:12,2.06,19.00,25.70,966.04,356
5/1/2013 16:06:27,5/1/2013,16:06:27,1.43,19.29,26.79,966.02,5
5/1/2013 16:06:42,5/1/2013,16:06:42,1.62,19.27,27.89,966.02,357
5/1/2013 16:06:57,5/1/2013,16:06:57,1.33,19.42,28.70,966.01,359
5/1/2013 16:07:12,5/1/2013,16:07:12,2.11,19.02,24.89,965.99,0
5/1/2013 16:07:27,5/1/2013,16:07:27,2.22,19.00,28.00,966.00,351
5/1/2013 16:07:42,5/1/2013,16:07:42,1.34,19.35,26.89,966.02,340
5/1/2013 16:07:57,5/1/2013,16:07:57,1.30,19.27,25.50,966.01,1
5/1/2013 16:08:12,5/1/2013,16:08:12,1.18,19.45,27.20,966.02,24
5/1/2013 16:08:27,5/1/2013,16:08:27,0.18,19.77,29.00,966.00,6
5/1/2013 16:08:42,5/1/2013,16:08:42,1.40,19.29,26.60,965.97,1
5/1/2013 16:08:57,5/1/2013,16:08:57,1.06,19.54,27.70,965.99,13
5/1/2013 16:09:12,5/1/2013,16:09:12,1.18,19.45,26.10,965.96,66
5/1/2013 16:09:27,5/1/2013,16:09:27,0.22,20.02,26.50,965.96,34
5/1/2013 16:09:42,5/1/2013,16:09:42,0.00,20.17,29.20,965.97,30
5/1/2013 16:09:57,5/1/2013,16:09:57,0.81,20.20,30.79,965.97,60
5/1/2013 16:10:12,5/1/2013,16:10:12,1.94,19.57,28.29,965.96,23
5/1/2013 16:10:27,5/1/2013,16:10:27,1.77,19.62,27.60,965.99,330
5/1/2013 16:10:42,5/1/2013,16:10:42,0.94,19.82,26.89,966.01,0
5/1/2013 16:10:57,5/1/2013,16:10:57,1.59,19.37,25.39,966.01,20
5/1/2013 16:11:12,5/1/2013,16:11:12,2.09,19.17,26.79,966.04,2
5/1/2013 16:11:27,5/1/2013,16:11:27,2.06,19.07,26.70,966.02,356
5/1/2013 16:11:42,5/1/2013,16:11:42,1.90,19.14,28.39,966.01,23
5/1/2013 16:11:57,5/1/2013,16:11:57,1.38,19.37,30.39,966.05,341
5/1/2013 16:12:12,5/1/2013,16:12:12,1.38,19.54,30.10,966.07,65
5/1/2013 16:12:27,5/1/2013,16:12:27,1.26,19.62,29.29,966.02,5
5/1/2013 16:12:42,5/1/2013,16:12:42,0.97,19.57,25.79,966.01,357
5/1/2013 16:12:57,5/1/2013,16:12:57,0.86,19.75,27.79,966.01,34
5/1/2013 16:13:12,5/1/2013,16:13:12,0.79,19.82,30.10,965.99,24
5/1/2013 16:13:27,5/1/2013,16:13:27,1.09,19.82,31.00,965.98,7
5/1/2013 16:13:42,5/1/2013,16:13:42,0.30,20.32,30.20,965.98,9
5/1/2013 16:13:57,5/1/2013,16:13:57,0.93,19.82,25.89,965.96,2
5/1/2013 16:14:12,5/1/2013,16:14:12,1.48,19.54,26.79,965.96,14
5/1/2013 16:14:27,5/1/2013,16:14:27,1.19,19.70,27.79,965.97,33
5/1/2013 16:14:42,5/1/2013,16:14:42,0.94,19.89,28.79,965.93,51
5/1/2013 16:14:57,5/1/2013,16:14:57,0.20,20.47,27.89,965.92,181
5/1/2013 16:15:12,5/1/2013,16:15:12,0.00,20.45,24.20,965.89,8
5/1/2013 16:15:27,5/1/2013,16:15:27,0.72,20.02,24.79,965.89,358
5/1/2013 16:15:42,5/1/2013,16:15:42,1.29,19.89,25.50,965.89,66
5/1/2013 16:15:57,5/1/2013,16:15:57,2.15,19.27,23.89,965.89,12
5/1/2013 16:16:12,5/1/2013,16:16:12,1.56,19.37,24.20,965.91,15
5/1/2013 16:16:27,5/1/2013,16:16:27,1.40,19.54,25.00,965.93,15
5/1/2013 16:16:42,5/1/2013,16:16:42,0.68,19.92,27.60,965.93,30
5/1/2013 16:16:57,5/1/2013,16:16:57,0.81,19.92,24.50,965.91,48
5/1/2013 16:17:12,5/1/2013,16:17:12,0.77,20.02,26.39,965.90,62
5/1/2013 16:17:27,5/1/2013,16:17:27,0.81,20.10,27.70,965.90,26
5/1/2013 16:17:42,5/1/2013,16:17:42,0.62,20.10,26.20,965.89,44
5/1/2013 16:17:57,5/1/2013,16:17:57,0.66,20.32,27.00,965.86,45
5/1/2013 16:18:12,5/1/2013,16:18:12,0.69,20.32,26.70,965.85,332
5/1/2013 16:18:27,5/1/2013,16:18:27,1.24,20.02,27.50,965.85,36
5/1/2013 16:18:42,5/1/2013,16:18:42,1.37,19.92,28.39,965.84,1
5/1/2013 16:18:57,5/1/2013,16:18:57,1.09,20.25,29.79,965.85,1
5/1/2013 16:19:12,5/1/2013,16:19:12,1.33,20.02,30.50,965.86,55
5/1/2013 16:19:27,5/1/2013,16:19:27,1.33,20.02,29.39,965.86,45
5/1/2013 16:19:42,5/1/2013,16:19:42,2.15,19.54,27.20,965.87,348
5/1/2013 16:19:57,5/1/2013,16:19:57,1.91,19.42,26.50,965.91,31
5/1/2013 16:20:12,5/1/2013,16:20:12,1.44,19.64,26.60,965.91,47
5/1/2013 16:20:27,5/1/2013,16:20:27,2.30,19.00,23.60,965.90,1
5/1/2013 16:20:42,5/1/2013,16:20:42,2.22,18.89,25.50,965.92,16
5/1/2013 16:20:57,5/1/2013,16:20:57,1.80,19.02,28.00,965.92,1
5/1/2013 16:21:12,5/1/2013,16:21:12,1.99,18.89,28.10,965.92,12
5/1/2013 16:21:27,5/1/2013,16:21:27,1.79,19.02,27.39,965.94,11
5/1/2013 16:21:42,5/1/2013,16:21:42,1.27,19.29,26.10,965.93,44
5/1/2013 16:21:57,5/1/2013,16:21:57,0.88,19.54,26.79,965.92,67
5/1/2013 16:22:12,5/1/2013,16:22:12,0.80,19.70,27.10,965.89,331
5/1/2013 16:22:27,5/1/2013,16:22:27,0.19,19.85,27.00,965.87,5
5/1/2013 16:22:42,5/1/2013,16:22:42,1.31,19.42,27.39,965.87,348
5/1/2013 16:22:57,5/1/2013,16:22:57,1.18,19.50,28.10,965.89,358
5/1/2013 16:23:12,5/1/2013,16:23:12,1.01,19.62,26.79,965.90,71
5/1/2013 16:23:27,5/1/2013,16:23:27,1.08,19.64,28.50,965.91,6
5/1/2013 16:23:42,5/1/2013,16:23:42,1.31,19.45,27.10,965.90,0
5/1/2013 16:23:57,5/1/2013,16:23:57,1.43,19.42,27.60,965.87,10
5/1/2013 16:24:12,5/1/2013,16:24:12,1.12,19.54,28.00,965.86,52
5/1/2013 16:24:27,5/1/2013,16:24:27,0.70,19.85,28.79,965.86,60
5/1/2013 16:24:42,5/1/2013,16:24:42,0.16,20.10,29.10,965.86,23
5/1/2013 16:24:57,5/1/2013,16:24:57,0.00,20.47,29.50,965.86,349
5/1/2013 16:25:12,5/1/2013,16:25:12,0.86,19.85,26.60,965.85,359
5/1/2013 16:25:27,5/1/2013,16:25:27,1.74,19.35,25.00,965.84,358
5/1/2013 16:25:42,5/1/2013,16:25:42,1.63,19.37,25.60,965.83,6
5/1/2013 16:25:57,5/1/2013,16:25:57,1.87,19.29,26.10,965.84,4
5/1/2013 16:26:12,5/1/2013,16:26:12,1.54,19.29,27.00,965.84,0
5/1/2013 16:26:27,5/1/2013,16:26:27,0.77,19.70,26.00,965.86,5
5/1/2013 16:26:42,5/1/2013,16:26:42,1.13,19.54,26.20,965.85,355
5/1/2013 16:26:57,5/1/2013,16:26:57,1.77,19.22,24.20,965.84,26
5/1/2013 16:27:12,5/1/2013,16:27:12,1.62,19.22,24.29,965.84,4
5/1/2013 16:27:27,5/1/2013,16:27:27,1.44,19.35,26.00,965.84,8
5/1/2013 16:27:42,5/1/2013,16:27:42,1.01,19.57,27.79,965.85,33
5/1/2013 16:27:57,5/1/2013,16:27:57,0.73,19.75,26.60,965.86,5
5/1/2013 16:28:12,5/1/2013,16:28:12,0.95,19.75,28.29,965.85,359
